quantity,waterpoint_type,extraction_type_class,construction_year,payment,water_quality,source,gps_height,longitude,latitude,population,management,funder,installer,date_recorded,permit,public_meeting,amount_tsh,status_group
enough,communal standpipe,gravity,1999.0,pay annually,soft,spring,1390.0,34.93809275,-9.85632177,109.0,vwc,roman,roman,2011-03-14,False,True,6000.0,functional
insufficient,communal standpipe,gravity,2010.0,never pay,soft,rainwater harvesting,1399.0,34.6987661,-2.14746569,280.0,wug,grumeti,grumeti,2013-03-06,True,,,functional
enough,communal standpipe multiple,gravity,2009.0,pay per bucket,soft,dam,686.0,37.46066446,-3.82132853,250.0,vwc,lottery club,world vision,2013-02-25,True,True,25.0,functional
dry,communal standpipe multiple,submersible,1986.0,never pay,soft,machine dbh,263.0,38.48616088,-11.15529772,58.0,vwc,unicef,unicef,2013-01-28,True,True,,non functional
seasonal,communal standpipe,gravity,,never pay,soft,rainwater harvesting,,31.13084671,-1.82535885,,other,action in a,artisan,2011-07-13,True,True,,functional
enough,communal standpipe multiple,submersible,2009.0,pay per bucket,salty,other,,39.1727956,-4.76558728,1.0,vwc,mkinga distric coun,dwe,2011-03-13,True,True,20.0,functional
enough,hand pump,handpump,,never pay,soft,machine dbh,,33.36240982,-3.76636472,,vwc,dwsp,dwsp,2012-10-01,True,True,,non functional
enough,hand pump,handpump,,,milky,shallow well,,32.62061707,-4.22619802,,wug,rwssp,dwe,2012-10-09,True,True,,non functional
seasonal,hand pump,handpump,,never pay,salty,machine dbh,,32.71110001,-5.14671181,,vwc,wateraid,water aid,2012-11-03,True,True,,non functional
enough,hand pump,handpump,,never pay,soft,shallow well,,30.62699053,-1.25705061,,vwc,isingiro ho,artisan,2011-08-03,True,True,,functional
enough,other,submersible,2011.0,never pay,salty,machine dbh,62.0,39.20951812,-7.03413939,345.0,private operator,private,private,2011-02-20,False,True,,functional
insufficient,hand pump,handpump,1987.0,pay when scheme fails,soft,shallow well,1062.0,35.77025785,-10.57417468,250.0,wug,danida,danida,2013-02-18,False,True,200.0,functional
enough,hand pump,handpump,,other,soft,shallow well,,33.79810612,-3.2901937999999995,,wug,world vision,world vision,2012-10-14,False,True,,functional
